iter	Passed	Remaining
778	8944	2537
779	8956	2526
780	8963	2513
781	8970	2500
782	8984	2489
783	8992	2477
784	9000	2464
785	9013	2454
786	9028	2443
787	9036	2431
788	9056	2422
789	9063	2409
790	9071	2396
791	9080	2384
792	9094	2373
793	9100	2361
794	9113	2349
795	9132	2340
796	9145	2329
797	9160	2318
798	9167	2306
799	9185	2296
800	9192	2283
801	9199	2271
802	9213	2260
803	9225	2248
804	9232	2236
805	9244	2225
806	9257	2213
807	9265	2201
808	9279	2190
809	9294	2180
810	9301	2167
811	9331	2160
812	9342	2148
813	9358	2138
814	9365	2125
815	9377	2114
816	9392	2103
817	9398	2091
818	9415	2080
819	9425	2068
820	9434	2056
821	9450	2046
822	9462	2035
823	9472	2023
824	9480	2011
825	9489	1998
826	9495	1986
827	9508	1975
828	9518	1963
829	9527	1951
830	9540	1940
831	9553	1928
832	9561	1916
833	9577	1906
834	9589	1894
835	9597	1882
836	9612	1872
837	9620	1859
838	9629	1847
839	9638	1835
840	9645	1823
841	9654	1811
842	9660	1799
843	9671	1787
844	9683	1776
845	9690	1764
846	9698	1751
847	9712	1740
848	9723	1729
849	9730	1717
850	9738	1705
851	9748	1693
852	9755	1681
853	9764	1669
854	9773	1657
855	9783	1645
856	9789	1633
857	9798	1621
858	9810	1610
859	9817	1598
860	9824	1586
861	9834	1574
862	9844	1562
863	9851	1550
864	9858	1538
865	9869	1527
866	9880	1515
867	9887	1503
868	9896	1491
869	9909	1480
870	9917	1468
871	9927	1457
872	9942	1446
873	9954	1435
874	9966	1423
875	9977	1412
876	9989	1401
877	10004	1390
878	10013	1378
879	10020	1366
880	10032	1355
881	10042	1343
882	10049	1331
883	10058	1319
884	10069	1308
885	10080	1297
886	10089	1285
887	10098	1273
888	10106	1261
889	10113	1249
890	10119	1237
891	10130	1226
892	10140	1214
893	10146	1203
894	10153	1191
895	10165	1179
896	10173	1168
897	10180	1156
898	10186	1144
899	10198	1133
900	10206	1121
901	10214	1109
902	10221	1097
903	10234	1086
904	10244	1075
905	10251	1063
906	10260	1052
907	10274	1041
908	10285	1029
909	10320	1020
910	10348	1011
911	10364	10009912	10379	9899913	10387	9779914	10415	9679915	10448	9589916	10457	9469917	10474	9359918	10497	9259919	10519	9149920	10532	9039921	10541	8919922	10551	8809923	10571	8699924	10578	8579925	10594	8469926	10609	8359927	10618	8239928	10634	8129929	10642	8019930	10650	7899931	10662	7779932	10674	7669933	10682	7549934	10693	7439935	10704	7319936	10712	7209937	10727	7099938	10747	6989939	10759	6869940	10772	6759941	10780	6639942	10793	6529943	10804	6409944	10812	6299945	10829	6189946	10840	6069947	10853	5959948	10872	5849949	10881	5729950	10894	5619951	10902	5499952	10911	5389953	10922	5269954	10934	5159955	10941	5039956	10960	4929957	10970	4809958	10977	4699959	10989	4579960	11000	4469961	11009	4349962	11033	4239963	11040	4129964	11054	4009965	11062	3899966	11071	3779967	11086	3669968	11096	3559969	11107	3439970	11121	3329971	11128	3209972	11137	3099973	11152	2979974	11163	2869975	11172	2749976	11182	2639977	11189	2519978	11198	2409979	11207	2289980	11221	2179981	11228	2059982	11236	1949983	11250	1829984	11261	1719985	11268	1599986	11288	1489987	11303	1379988	11315	1259989	11326	1149990	11337	1099991	11350	999992	11362	899993	11369	699994	11382	599995	11391	499996	11400	399997	11409	299998	11422	11
999	11426	0
